score,school,subject,helper
158,64.5,2,10,0.0
159,63.2,2,10,0.0
160,66.3,2,10,0.0
161,77.3,2,11,0.0
162,78.7,2,11,0.0
163,81.1,2,11,0.0
164,80.0,2,11,0.0
165,80.1,2,11,0.0
166,83.8,2,11,0.0
167,82.0,2,12,0.0
168,84.1,2,12,0.0
169,83.1,2,12,0.0
170,76.8,2,12,0.0
171,86.2,2,12,0.0
172,91.8,2,12,0.0
173,83.2,2,12,0.0
174,87.3,2,12,0.0
175,82.5,2,12,0.0
176,80.6,2,12,0.0
177,84.3,2,12,0.0
178,74.7,2,13,0.0
179,71.0,2,13,0.0
180,75.5,2,13,0.0
181,69.8,2,13,0.0
182,71.8,2,13,0.0
183,72.9,2,13,0.0
184,75.7,2,13,0.0
185,75.5,2,13,0.0
186,72.4,2,13,0.0
187,79.5,2,13,0.0
188,65.2,2,13,0.0
189,63.5,2,13,0.0
190,88.5,2,14,0.0
191,79.5,2,14,0.0
192,85.0,2,14,0.0
193,70.9,2,15,0.0
194,70.0,2,15,0.0
195,74.0,2,15,0.0
196,68.8,2,15,0.0
197,75.2,2,15,0.0
198,66.5,2,15,0.0
199,66.1,2,15,0.0
200,71.7,2,15,0.0
201,74.4,3,1,0.0
202,79.4,3,1,0.0
203,79.0,3,1,0.0
204,76.7,3,1,0.0
205,73.0,3,1,0.0
206,78.6,3,1,0.0
207,84.4,3,2,0.0
208,86.9,3,2,0.0
209,82.6,3,3,0.0
210,88.3,3,3,0.0
211,80.9,3,3,0.0
212,84.6,3,3,0.0
213,84.5,3,3,0.0
214,80.2,3,3,0.0
215,85.6,3,3,0.0
216,79.8,3,3,0.0
217,88.0,3,3,0.0
218,84.9,3,3,0.0
219,70.8,3,4,0.0
220,71.4,3,4,0.0
221,72.1,3,4,0.0
222,72.3,3,4,0.0
223,81.4,3,5,0.0
224,87.2,3,5,0.0
225,88.0,3,5,0.0
226,85.3,3,5,0.0
227,91.6,3,5,0.0
228,89.3,3,5,0.0
229,90.6,3,5,0.0
230,85.0,3,5,0.0
231,80.6,3,6,0.0
232,80.2,3,6,0.0
233,82.6,3,6,0.0
234,83.1,3,6,0.0
235,81.0,3,6,0.0
236,82.7,3,6,0.0
237,70.4,3,7,0.0
238,70.8,3,7,0.0
239,66.8,3,7,0.0
240,65.9,3,7,0.0
241,65.3,3,7,0.0
242,81.5,3,8,0.0
243,82.0,3,8,0.0
244,83.6,3,8,0.0
245,83.4,3,8,0.0
246,80.3,3,8,0.0
247,82.7,3,8,0.0
248,87.8,3,9,0.0
249,85.5,3,9,0.0
250,85.4,3,9,0.0
251,76.7,3,9,0.0
252,82.7,3,9,0.0
253,92.7,3,9,0.0
254,86.9,3,9,0.0
255,75.2,3,10,0.0
256,65.1,3,10,0.0
257,72.9,3,10,0.0
258,70.0,3,10,0.0
259,67.7,3,10,0.0
260,69.2,3,10,0.0
261,65.7,3,10,0.0
262,70.8,3,10,0.0
263,86.5,3,11,0.0
264,80.9,3,11,0.0
265,89.5,3,11,0.0
266,81.2,3,11,0.0
267,88.3,3,12,0.0
268,87.7,3,12,0.0
269,85.0,3,12,0.0
270,86.1,3,12,0.0
271,85.3,3,12,0.0
272,69.8,3,13,0.0
273,82.8,3,13,0.0
274,77.5,3,13,0.0
275,77.1,3,13,0.0
276,76.8,3,13,0.0
277,73.4,3,13,0.0
278,77.8,3,14,0.0
279,86.0,3,14,0.0
280,85.2,3,14,0.0
281,83.4,3,14,0.0
282,86.8,3,14,0.0
283,73.1,3,15,0.0
284,73.2,3,15,0.0
285,65.7,3,15,0.0
286,70.3,3,15,0.0
287,71.6,3,15,0.0
288,74.9,3,15,0.0
289,69.6,3,15,0.0
290,74.2,3,15,0.0
291,73.8,3,15,0.0
292,80.0,4,1,0.0
293,75.5,4,1,0.0
294,76.0,4,1,0.0
295,76.0,4,1,0.0
296,74.8,4,1,0.0
297,78.5,4,1,0.0
298,76.6,4,1,0.0
299,74.6,4,1,0.0
300,88.3,4,2,0.0
301,87.5,4,2,0.0
302,82.0,4,2,0.0
303,89.2,4,2,0.0
304,83.2,4,3,0.0
305,86.0,4,3,0.0
306,80.4,4,3,0.0
307,87.0,4,3,0.0
308,81.8,4,3,0.0
309,77.2,4,4,0.0
310,75.4,4,4,0.0
311,69.8,4,4,0.0
312,78.4,4,4,0.0
313,72.5,4,4,0.0
314,72.8,4,4,0.0
315,75.3,4,4,0.0
316,68.1,4,4,0.0
317,78.9,4,4,0.0
318,71.2,4,4,0.0
319,74.5,4,4,0.0
320,77.2,4,4,0.0
321,70.8,4,4,0.0
322,89.3,4,5,0.0
323,91.8,4,5,0.0
324,85.5,4,5,0.0
325,89.0,4,5,0.0
326,91.9,4,5,0.0
327,88.7,4,5,0.0
328,91.3,4,5,0.0
329,88.9,4,5,0.0
330,83.6,4,6,0.0
331,76.5,4,6,0.0
332,83.1,4,6,0.0
333,81.6,4,6,0.0
334,81.4,4,6,0.0
335,84.3,4,6,0.0
336,69.4,4,7,0.0
337,74.1,4,7,0.0
338,77.0,4,7,0.0
339,66.6,4,7,0.0
340,69.4,4,7,0.0
341,68.7,4,7,0.0
342,69.5,4,7,0.0
343,71.2,4,7,0.0
344,86.2,4,9,0.0
345,83.2,4,9,0.0
346,87.7,4,9,0.0
347,85.3,4,9,0.0
348,90.4,4,9,0.0
349,70.1,4,10,0.0
350,66.5,4,10,0.0
351,69.2,4,10,0.0
352,74.1,4,10,0.0
353,70.6,4,10,0.0
354,66.5,4,10,0.0
355,71.1,4,10,0.0
356,74.7,4,10,0.0
357,88.2,4,11,0.0
358,78.7,4,11,0.0
359,80.9,4,11,0.0
360,83.8,4,11,0.0
361,85.0,4,11,0.0
362,87.6,4,11,0.0
363,83.2,4,11,0.0
364,80.0,4,11,0.0
365,80.3,4,11,0.0
366,78.8,4,11,0.0
367,83.1,4,12,0.0
368,90.3,4,12,0.0
369,83.2,4,12,0.0
370,76.2,4,13,0.0
371,77.2,4,13,0.0
372,77.6,4,13,0.0
373,79.7,4,13,0.0
374,78.4,4,13,0.0
375,86.5,4,14,0.0
376,79.3,4,14,0.0
377,80.5,4,14,0.0
378,77.7,4,14,0.0
379,80.5,4,14,0.0
380,78.8,4,14,0.0
381,81.5,4,14,0.0
382,81.1,4,14,0.0
383,78.9,4,15,0.0
384,77.2,4,15,0.0
385,76.0,4,15,0.0
386,72.5,4,15,0.0
387,78.1,4,15,0.0
388,69.2,4,15,0.0
389,78.2,4,15,0.0
390,72.4,4,15,0.0
391,77.8,4,15,0.0
392,70.1,4,15,0.0
393,74.4,5,1,0.0
394,65.3,5,1,0.0
395,73.3,5,1,0.0
396,70.5,5,1,0.0
397,75.3,5,2,0.0
398,79.3,5,2,0.0
399,85.8,5,2,0.0
400,81.9,5,2,0.0
401,75.6,5,3,0.0
402,71.0,5,4,0.0
403,70.1,5,4,0.0
404,70.2,5,4,0.0
405,84.9,5,5,0.0
406,85.5,5,5,0.0
407,87.1,5,5,0.0
408,84.0,5,5,0.0
409,85.7,5,5,0.0
410,83.2,5,5,0.0
411,83.7,5,5,0.0
412,75.1,5,6,0.0
413,68.1,5,6,0.0
414,67.3,5,6,0.0
415,74.5,5,6,0.0
416,71.0,5,6,0.0
417,81.3,5,6,0.0
418,73.0,5,6,0.0
419,73.8,5,6,0.0
420,64.4,5,7,0.0
421,67.7,5,7,0.0
422,63.2,5,7,0.0
423,62.1,5,7,0.0
424,60.0,5,7,0.0
425,65.2,5,7,0.0
426,69.0,5,7,0.0
427,63.9,5,7,0.0
428,67.8,5,8,0.0
429,75.5,5,8,0.0
430,76.6,5,8,0.0
431,79.7,5,8,0.0
432,81.1,5,9,0.0
433,81.8,5,9,0.0
434,83.6,5,9,0.0
435,79.1,5,9,0.0
436,74.2,5,9,0.0
437,79.5,5,9,0.0
438,77.8,5,9,0.0
439,61.8,5,10,0.0
440,66.8,5,10,0.0
441,67.2,5,10,0.0
442,71.9,5,10,0.0
443,65.8,5,10,0.0
444,65.4,5,10,0.0
445,79.0,5,11,0.0
446,81.4,5,12,0.0
447,80.6,5,12,0.0
448,81.0,5,12,0.0
449,84.3,5,12,0.0
450,74.8,5,12,0.0
451,80.0,5,12,0.0
452,79.9,5,12,0.0
453,68.3,5,13,0.0
454,70.6,5,13,0.0
455,69.9,5,13,0.0
456,69.6,5,13,0.0
457,75.0,5,13,0.0
458,72.4,5,13,0.0
459,72.3,5,13,0.0
460,71.9,5,13,0.0
461,70.7,5,13,0.0
462,81.5,5,14,0.0
463,74.0,5,14,0.0
464,78.8,5,14,0.0
465,79.2,5,14,0.0
466,78.3,5,14,0.0
467,68.7,5,15,0.0
468,66.9,5,15,0.0
469,70.6,5,15,0.0
470,65.4,5,15,0.0
471,65.0,5,15,0.0
472,69.0,5,15,0.0
473,66.7,5,15,0.0
474,69.2,5,15,0.0
475,64.2,5,15,0.0
476,68.1,5,15,0.0
477,59.9,6,1,0.0
478,60.9,6,1,0.0
479,56.2,6,1,0.0
480,63.7,6,1,0.0
481,64.3,6,1,0.0
482,56.4,6,1,0.0
483,64.8,6,1,0.0
484,60.7,6,1,0.0
485,66.1,6,2,0.0
486,66.8,6,2,0.0
487,72.9,6,2,0.0
488,73.9,6,2,0.0
489,71.5,6,2,0.0
490,70.3,6,2,0.0
491,66.0,6,2,0.0
492,71.0,6,2,0.0
493,74.4,6,2,0.0
494,70.9,6,2,0.0
495,65.7,6,3,0.0
496,62.6,6,3,0.0
497,70.4,6,3,0.0
498,64.2,6,3,0.0
499,71.7,6,3,0.0
500,63.6,6,3,0.0
501,61.7,6,4,0.0
502,61.8,6,4,0.0
503,54.9,6,4,0.0
504,59.5,6,4,0.0
505,57.9,6,4,0.0
506,76.2,6,5,0.0
507,74.1,6,5,0.0
508,72.9,6,5,0.0
509,77.4,6,5,0.0
510,74.7,6,5,0.0
511,78.6,6,5,0.0
512,74.2,6,5,0.0
513,71.4,6,5,0.0
514,70.1,6,6,0.0
515,66.3,6,6,0.0
516,66.0,6,6,0.0
517,53.2,6,7,0.0
518,56.2,6,7,0.0
519,54.9,6,7,0.0
520,58.3,6,7,0.0
521,53.7,6,7,0.0
522,50.9,6,7,0.0
523,47.1,6,7,0.0
524,52.3,6,7,0.0
525,64.9,6,8,0.0
526,63.6,6,8,0.0
527,69.1,6,8,0.0
528,71.0,6,8,0.0
529,65.5,6,8,0.0
530,59.5,6,8,0.0
531,70.3,6,8,0.0
532,62.9,6,8,0.0
533,66.8,6,8,0.0
534,64.7,6,8,0.0
535,68.1,6,8,0.0
536,65.2,6,9,0.0
537,70.6,6,9,0.0
538,75.5,6,9,0.0
539,66.5,6,9,0.0
540,68.7,6,9,0.0
541,52.6,6,10,0.0
542,55.8,6,10,0.0
543,53.4,6,10,0.0
544,57.0,6,10,0.0
545,51.0,6,10,0.0
546,58.8,6,10,0.0
547,51.8,6,10,0.0
548,72.3,6,11,0.0
549,66.8,6,11,0.0
550,68.5,6,11,0.0
551,71.4,6,11,0.0
552,64.6,6,11,0.0
553,71.0,6,11,0.0
554,63.7,6,12,0.0
555,72.8,6,12,0.0
556,72.2,6,12,0.0
557,71.6,6,12,0.0
558,67.8,6,12,0.0
559,71.4,6,12,0.0
560,59.9,6,13,0.0
561,62.9,6,13,0.0
562,59.6,6,13,0.0
563,64.6,6,13,0.0
564,62.0,6,13,0.0
565,62.6,6,13,0.0
566,62.9,6,14,0.0
567,72.1,6,14,0.0
568,64.2,6,14,0.0
569,66.7,6,14,0.0
570,65.8,6,14,0.0
571,71.2,6,14,0.0
572,63.4,6,14,0.0
573,69.8,6,14,0.0
574,68.5,6,14,0.0
575,72.9,6,14,0.0
576,65.6,6,14,0.0
577,56.0,6,15,0.0
578,57.3,6,15,0.0
579,56.2,6,15,0.0
580,56.8,6,15,0.0
581,59.9,6,15,0.0
582,60.7,6,15,0.0
583,59.5,7,1,0.0
584,62.0,7,1,0.0
585,67.9,7,1,0.0
586,64.9,7,1,0.0
587,60.7,7,1,0.0
588,63.5,7,1,0.0
589,63.4,7,1,0.0
590,58.9,7,1,0.0
591,60.9,7,1,0.0
592,56.7,7,1,0.0
593,71.6,7,2,0.0
594,69.5,7,2,0.0
595,71.9,7,2,0.0
596,68.8,7,2,0.0
597,70.3,7,2,0.0
598,77.5,7,2,0.0
599,75.6,7,2,0.0
600,72.8,7,2,0.0
601,69.5,7,2,0.0
602,73.0,7,2,0.0
603,69.9,7,3,0.0
604,68.6,7,3,0.0
605,63.8,7,3,0.0
606,66.6,7,3,0.0
607,62.4,7,3,0.0
608,67.6,7,3,0.0
609,66.1,7,3,0.0
610,60.0,7,4,0.0
611,59.3,7,4,0.0
612,58.3,7,4,0.0
613,57.4,7,4,0.0
614,62.0,7,4,0.0
615,62.7,7,4,0.0
616,60.8,7,4,0.0
617,52.3,7,4,0.0
618,73.9,7,5,0.0
619,69.2,7,5,0.0
620,70.1,7,5,0.0
621,72.7,7,5,0.0
622,71.7,7,5,0.0
623,77.9,7,5,0.0
624,67.1,7,6,0.0
625,64.2,7,6,0.0
626,67.4,7,6,0.0
627,65.1,7,6,0.0
628,60.2,7,6,0.0
629,63.2,7,6,0.0
630,64.7,7,6,0.0
631,57.1,7,7,0.0
632,59.8,7,7,0.0
633,61.2,7,8,0.0
634,65.6,7,8,0.0
635,63.1,7,8,0.0
636,68.0,7,8,0.0
637,63.0,7,8,0.0
638,75.3,7,8,0.0
639,70.4,7,8,0.0
640,68.6,7,9,0.0
641,69.8,7,9,0.0
642,66.7,7,9,0.0
643,70.2,7,9,0.0
644,73.2,7,9,0.0
645,62.0,7,10,0.0
646,59.6,7,10,0.0
647,56.3,7,10,0.0
648,51.5,7,10,0.0
649,56.8,7,10,0.0
650,53.8,7,10,0.0
651,57.2,7,10,0.0
652,70.2,7,11,0.0
653,69.1,7,11,0.0
654,68.9,7,11,0.0
655,64.2,7,11,0.0
656,64.3,7,11,0.0
657,67.0,7,11,0.0
658,68.8,7,12,0.0
659,74.4,7,12,0.0
660,67.3,7,12,0.0
661,69.7,7,12,0.0
662,70.0,7,12,0.0
663,72.1,7,12,0.0
664,57.2,7,13,0.0
665,62.1,7,13,0.0
666,63.2,7,13,0.0
667,59.5,7,13,0.0
668,64.3,7,13,0.0
669,62.4,7,13,0.0
670,58.4,7,13,0.0
671,56.3,7,13,0.0
672,54.9,7,13,0.0
673,61.1,7,13,0.0
674,61.3,7,13,0.0
675,63.0,7,13,0.0
676,57.5,7,13,0.0
677,70.0,7,14,0.0
678,62.7,7,14,0.0
679,65.5,7,14,0.0
680,68.0,7,14,0.0
681,67.2,7,14,0.0
682,68.6,7,14,0.0
683,66.5,7,14,0.0
684,59.5,7,15,0.0
685,55.2,7,15,0.0
686,58.6,7,15,0.0
687,59.5,7,15,0.0
688,58.5,7,15,0.0
689,56.9,7,15,0.0
690,64.5,8,1,0.0
691,62.4,8,1,0.0
692,64.4,8,1,0.0
693,64.1,8,1,0.0
694,66.0,8,1,0.0
695,63.3,8,1,0.0
696,71.6,8,2,0.0
697,75.6,8,2,0.0
698,78.2,8,2,0.0
699,70.2,8,2,0.0
700,75.2,8,2,0.0
701,73.1,8,2,0.0
702,75.8,8,2,0.0
703,69.6,8,3,0.0
704,73.0,8,3,0.0
705,68.3,8,3,0.0
706,69.4,8,3,0.0
707,61.8,8,4,0.0
708,59.1,8,4,0.0
709,58.2,8,4,0.0
710,67.3,8,4,0.0
711,62.0,8,4,0.0
712,65.6,8,4,0.0
713,73.9,8,5,0.0
714,71.5,8,5,0.0
715,76.5,8,5,0.0
716,78.0,8,5,0.0
717,75.0,8,5,0.0
718,78.0,8,5,0.0
719,72.3,8,5,0.0
720,80.7,8,5,0.0
721,82.7,8,5,0.0
722,76.6,8,5,0.0
723,67.7,8,6,0.0
724,71.8,8,6,0.0
725,65.9,8,6,0.0
726,66.9,8,6,0.0
727,62.8,8,6,0.0
728,68.2,8,6,0.0
729,59.4,8,7,0.0
730,56.5,8,7,0.0
731,54.3,8,7,0.0
732,59.8,8,7,0.0
733,58.0,8,7,0.0
734,53.1,8,7,0.0
735,57.6,8,7,0.0
736,65.3,8,7,0.0
737,60.8,8,7,0.0
738,72.1,8,8,0.0
739,72.5,8,8,0.0
740,69.3,8,8,0.0
741,59.7,8,8,0.0
742,66.9,8,8,0.0
743,71.4,8,8,0.0
744,70.5,8,8,0.0
745,72.1,8,9,0.0
746,76.4,8,9,0.0
747,61.6,8,10,0.0
748,59.5,8,10,0.0
749,55.7,8,10,0.0
750,59.1,8,10,0.0
751,61.3,8,10,0.0
752,59.1,8,10,0.0
753,59.3,8,10,0.0
754,57.8,8,10,0.0
755,65.9,8,10,0.0
756,59.5,8,10,0.0
757,73.3,8,11,0.0
758,68.4,8,11,0.0
759,70.3,8,11,0.0
760,72.3,8,11,0.0
761,76.8,8,11,0.0
762,72.5,8,12,0.0
763,72.3,8,12,0.0
764,72.8,8,12,0.0
765,68.7,8,12,0.0
766,72.7,8,12,0.0
767,61.0,8,13,0.0
768,65.8,8,13,0.0
769,61.7,8,13,0.0
770,64.3,8,13,0.0
771,62.1,8,13,0.0
772,64.0,8,15,0.0
773,64.5,8,15,0.0
774,73.2,9,1,0.0
775,70.9,9,1,0.0
776,70.2,9,1,0.0
777,69.8,9,1,0.0
778,69.2,9,1,0.0
779,74.5,9,1,0.0
780,69.1,9,1,0.0
781,78.8,9,1,0.0
782,82.7,9,2,0.0
783,80.4,9,2,0.0
784,82.9,9,2,0.0
785,84.5,9,2,0.0
786,82.5,9,2,0.0
787,82.6,9,2,0.0
788,84.1,9,2,0.0
789,81.9,9,3,0.0
790,78.0,9,3,0.0
791,78.2,9,3,0.0
792,76.6,9,3,0.0
793,75.2,9,4,0.0
794,69.5,9,4,0.0
795,71.8,9,4,0.0
796,71.7,9,4,0.0
797,67.3,9,4,0.0
798,72.3,9,4,0.0
799,68.7,9,4,0.0
800,71.3,9,4,0.0
801,75.2,9,4,0.0
802,64.9,9,4,0.0
803,71.3,9,4,0.0
804,88.1,9,5,0.0
805,82.3,9,5,0.0
806,87.4,9,5,0.0
807,84.6,9,5,0.0
808,88.1,9,5,0.0
809,77.4,9,6,0.0
810,79.2,9,6,0.0
811,78.2,9,6,0.0
812,73.7,9,6,0.0
813,69.6,9,7,0.0
814,61.9,9,7,0.0
815,63.8,9,7,0.0
816,70.6,9,7,0.0
817,67.6,9,7,0.0
818,69.5,9,7,0.0
819,71.0,9,7,0.0
820,65.6,9,7,0.0
821,63.1,9,7,0.0
822,65.9,9,7,0.0
823,76.3,9,8,0.0
824,77.8,9,8,0.0
825,77.3,9,8,0.0
826,76.5,9,8,0.0
827,75.7,9,8,0.0
828,79.8,9,8,0.0
829,72.9,9,8,0.0
830,82.1,9,8,0.0
831,81.7,9,9,0.0
832,85.0,9,9,0.0
833,81.4,9,9,0.0
834,65.7,9,10,0.0
835,63.8,9,10,0.0
836,60.3,9,10,0.0
837,69.6,9,10,0.0
838,69.3,9,10,0.0
839,68.5,9,10,0.0
840,64.9,9,10,0.0
841,70.7,9,10,0.0
842,68.9,9,10,0.0
843,80.8,9,11,0.0
844,78.2,9,11,0.0
845,82.5,9,11,0.0
846,80.2,9,11,0.0
847,81.9,9,12,0.0
848,87.5,9,12,0.0
849,80.0,9,12,0.0
850,87.7,9,12,0.0
851,83.4,9,12,0.0
852,72.3,9,13,0.0
853,69.2,9,13,0.0
854,71.9,9,13,0.0
855,70.6,9,13,0.0
856,67.3,9,13,0.0
857,70.5,9,13,0.0
858,74.3,9,13,0.0
859,71.8,9,13,0.0
860,69.8,9,13,0.0
861,80.7,9,14,0.0
862,80.6,9,14,0.0
863,82.1,9,14,0.0
864,77.6,9,14,0.0
865,77.3,9,14,0.0
866,64.9,9,15,0.0
867,71.5,9,15,0.0
868,70.4,9,15,0.0
869,72.0,9,15,0.0
870,69.4,9,15,0.0
871,78.3,10,1,0.0
872,69.7,10,1,0.0
873,65.4,10,1,0.0
874,74.7,10,1,0.0
875,83.5,10,2,0.0
876,80.4,10,2,0.0
877,78.3,10,2,0.0
878,87.3,10,2,0.0
879,80.8,10,2,0.0
880,78.6,10,3,0.0
881,77.8,10,3,0.0
882,80.1,10,3,0.0
883,78.4,10,3,0.0
884,79.8,10,3,0.0
885,78.6,10,3,0.0
886,74.9,10,3,0.0
887,71.3,10,4,0.0
888,72.6,10,4,0.0
889,76.6,10,4,0.0
890,71.0,10,4,0.0
891,73.6,10,4,0.0
892,74.7,10,4,0.0
893,74.2,10,4,0.0
894,83.9,10,5,0.0
895,85.6,10,5,0.0
896,84.5,10,5,0.0
897,87.4,10,5,0.0
898,85.5,10,5,0.0
899,88.9,10,5,0.0
900,81.9,10,5,0.0
901,84.6,10,5,0.0
902,91.2,10,5,0.0
903,82.4,10,5,0.0
904,73.7,10,6,0.0
905,73.7,10,6,0.0
906,78.8,10,6,0.0
907,77.5,10,6,0.0
908,81.2,10,6,0.0
909,69.1,10,7,0.0
910,72.4,10,7,0.0
911,70.2,10,7,0.0
912,67.2,10,7,0.0
913,62.3,10,7,0.0
914,63.5,10,7,0.0
915,63.6,10,7,0.0
916,62.6,10,7,0.0
917,70.8,10,8,0.0
918,78.9,10,8,0.0
919,77.1,10,8,0.0
920,78.6,10,8,0.0
921,74.0,10,8,0.0
922,82.4,10,8,0.0
923,76.7,10,8,0.0
924,82.2,10,8,0.0
925,86.0,10,8,0.0
926,77.3,10,9,0.0
927,83.8,10,9,0.0
928,81.3,10,9,0.0
929,85.1,10,9,0.0
930,70.5,10,10,0.0
931,63.8,10,10,0.0
932,70.2,10,10,0.0
933,60.8,10,10,0.0
934,64.1,10,10,0.0
935,69.0,10,10,0.0
936,62.9,10,10,0.0
937,69.4,10,10,0.0
938,67.8,10,10,0.0
939,64.8,10,10,0.0
940,78.9,10,11,0.0
941,78.9,10,11,0.0
942,75.3,10,11,0.0
943,82.1,10,11,0.0
944,79.7,10,11,0.0
945,82.5,10,11,0.0
946,81.0,10,12,0.0
947,81.8,10,12,0.0
948,82.5,10,12,0.0
949,80.2,10,12,0.0
950,78.2,10,12,0.0
951,65.5,10,13,0.0
952,71.6,10,13,0.0
953,73.3,10,13,0.0
954,71.0,10,13,0.0
955,71.3,10,13,0.0
956,73.5,10,13,0.0
957,73.3,10,13,0.0
958,67.6,10,13,0.0
959,73.2,10,14,0.0
960,84.8,10,14,0.0
961,82.7,10,14,0.0
962,80.8,10,14,0.0
963,82.9,10,14,0.0
964,69.4,10,15,0.0
965,70.4,10,15,0.0
966,69.2,10,15,0.0
967,73.2,10,15,0.0
968,68.7,10,15,0.0
969,71.5,10,15,0.0
970,70.1,10,15,0.0
971,71.2,10,15,0.0
972,74.2,10,15,0.0
973,76.5,10,15,0.0
974,66.3,11,1,0.0
975,73.3,11,1,0.0
976,74.9,11,1,0.0
977,72.8,11,1,0.0
978,76.3,11,1,0.0
979,74.8,11,1,0.0
980,78.1,11,1,0.0
981,73.2,11,1,0.0
982,77.0,11,2,0.0
983,81.4,11,2,0.0
984,84.6,11,2,0.0
985,83.7,11,2,0.0
986,79.4,11,3,0.0
987,79.0,11,3,0.0
988,81.3,11,3,0.0
989,78.1,11,3,0.0
990,74.3,11,3,0.0
991,69.7,11,4,0.0
992,67.5,11,4,0.0
993,69.2,11,4,0.0
994,74.4,11,4,0.0
995,69.1,11,4,0.0
996,71.0,11,4,0.0
997,69.7,11,4,0.0
